,Date,RealE_SUM
0,2022-06-27T22:38:00Z,197559231.99999997
1,2022-06-27T22:39:00Z,197627358.05257294
2,2022-06-27T22:40:00Z,197726721.19699058
3,2022-06-27T22:41:00Z,197795130.25941697
4,2022-06-27T22:42:00Z,197817515.86583963
5,2022-06-27T22:43:00Z,197823322.62691525
6,2022-06-27T22:44:00Z,197829170.45419383
7,2022-06-27T22:45:00Z,197835800.18197346
8,2022-06-27T22:46:00Z,197840944.95586014
9,2022-06-27T22:47:00Z,197846505.319719
10,2022-06-27T22:48:00Z,197852238.16162974
11,2022-06-27T22:49:00Z,197857332.0134248
12,2022-06-27T22:50:00Z,197863720.2719322
13,2022-06-27T22:51:00Z,197869829.28026047
14,2022-06-27T22:52:00Z,197875417.5691371
15,2022-06-27T22:53:00Z,197881411.5920977
16,2022-06-27T22:54:00Z,197885096.05181274
17,2022-06-27T22:55:00Z,197888862.64393342
18,2022-06-27T22:56:00Z,197892796.00659958
19,2022-06-27T22:57:00Z,197896806.4902027
20,2022-06-27T22:58:00Z,197902721.66605368
21,2022-06-27T22:59:00Z,197908176.9004335
22,2022-06-27T23:00:00Z,197913635.42010957
23,2022-06-27T23:01:00Z,197919146.50452495
24,2022-06-27T23:02:00Z,197924802.14197448
25,2022-06-27T23:03:00Z,197930676.25162268
26,2022-06-27T23:04:00Z,197936512.58036444
27,2022-06-27T23:05:00Z,197942115.65307426
28,2022-06-27T23:06:00Z,197947735.15226507
29,2022-06-27T23:07:00Z,197953129.60866475
30,2022-06-27T23:08:00Z,197958663.69015384
31,2022-06-27T23:09:00Z,197964215.84077206
32,2022-06-27T23:10:00Z,197969561.01772845
33,2022-06-27T23:11:00Z,197975262.6493249
34,2022-06-27T23:12:00Z,197981182.7531203
35,2022-06-27T23:13:00Z,197986703.69342452
36,2022-06-27T23:14:00Z,197992513.73979637
37,2022-06-27T23:15:00Z,197998328.71411276
38,2022-06-27T23:16:00Z,198003984.35156196
39,2022-06-27T23:17:00Z,198009646.7544943
40,2022-06-27T23:18:00Z,198015246.34701756
41,2022-06-27T23:19:00Z,198021018.61248282
42,2022-06-27T23:20:00Z,198026915.7192047
43,2022-06-27T23:21:00Z,198032389.02271363
44,2022-06-27T23:22:00Z,198038185.92790076
45,2022-06-27T23:23:00Z,198043848.1359424
46,2022-06-27T23:24:00Z,198049421.6409863
47,2022-06-27T23:25:00Z,198055299.03593084
48,2022-06-27T23:26:00Z,198060905.39393675
49,2022-06-27T23:27:00Z,198066585.671108
50,2022-06-27T23:28:00Z,198072155.89085552
51,2022-06-27T23:29:00Z,198077714.61206633
52,2022-06-27T23:30:00Z,198083749.70122942
53,2022-06-27T23:31:00Z,198089725.65506074
54,2022-06-27T23:32:00Z,198095271.23508653
55,2022-06-27T23:33:00Z,198100948.2269614
56,2022-06-27T23:34:00Z,198106592.36587408
57,2022-06-27T23:35:00Z,198112358.06074703
58,2022-06-27T23:36:00Z,198118534.41764772
59,2022-06-27T23:37:00Z,198124125.99182087
60,2022-06-27T23:38:00Z,198129617.97697198
61,2022-06-27T23:39:00Z,198135332.13724044
62,2022-06-27T23:40:00Z,198140943.42319074
63,2022-06-27T23:41:00Z,198146866.81228238
64,2022-06-27T23:42:00Z,198152951.1808891
65,2022-06-27T23:43:00Z,198158777.65374205
66,2022-06-27T23:44:00Z,198163988.13355312
67,2022-06-27T23:45:00Z,198169330.0252133
68,2022-06-27T23:46:00Z,198175135.14364073
69,2022-06-27T23:47:00Z,198180409.68672815
70,2022-06-27T23:48:00Z,198185751.57838818
71,2022-06-27T23:49:00Z,198191737.38810813
72,2022-06-27T23:50:00Z,198197912.10236096
73,2022-06-27T23:51:00Z,198203001.02621162
74,2022-06-27T23:52:00Z,198208415.19438863
75,2022-06-27T23:53:00Z,198213722.59043825
76,2022-06-27T23:54:00Z,198218668.6039033
77,2022-06-27T23:55:00Z,198224386.6619808
78,2022-06-27T23:56:00Z,198229546.21970057
79,2022-06-27T23:57:00Z,198232555.55104166
80,2022-06-27T23:58:00Z,198232969.4983658
81,2022-06-27T23:59:00Z,198233005.6366242
82,2022-06-28T00:00:00Z,198233799.0356622
83,2022-06-28T00:01:00Z,198238994.73164022
84,2022-06-28T00:02:00Z,198243539.938966
85,2022-06-28T00:03:00Z,198248167.27869728
86,2022-06-28T00:04:00Z,198252847.1831682
87,2022-06-28T00:05:00Z,198257530.37293538
88,2022-06-28T00:06:00Z,198262364.68632877
89,2022-06-28T00:07:00Z,198267409.25868055
90,2022-06-28T00:08:00Z,198272425.90601453
91,2022-06-28T00:09:00Z,198277235.57968605
92,2022-06-28T00:10:00Z,198282513.40806988
93,2022-06-28T00:11:00Z,198287544.8392366
